1,ABLBL,INE14LE01019,132.23,20
2,AARTIPHARM,INE0LRU01027,712.85,20
3,ARSSBL,INE549H01021,745.1,20
4,DEEPAKNTR,INE288B01029,1704.3,20
5,THANGAMAYL,INE085J01014,3161.2,21.16
6,INDIAGLYCO,INE560A01023,1155.8,20
7,TVSSCS,INE395N01027,113.36,20
8,GVT&D,INE200A01026,3069.2,20
9,NFL,INE870D01012,89.3,20
10,VIKRAN,INE01R501028,110.21,20
11,MARUTI,INE585B01010,15801,9
12,HYUNDAI,INE0V6F01027,2337.3,20
13,RAJESHEXPO,INE343B01030,191.15,20
14,BLUESTARCO,INE472A01039,1794.6,20
15,SGBJAN29IX,IN0020200377,12795.81,10
16,ITI,INE248A01017,305.65,21.9
17,BECTORFOOD,INE495P01012,1318.3,20
18,PGEL,INE457L01029,590.55,23.49
19,PREMIERENE,INE0BS701011,997.9,20
20,SGBSEP27,IN0020190115,12650,10
21,SGBNOV25VI,IN0020170083,12500,10
22,RECLTD,INE020B01018,361.4,20
23,SGBAUG27,IN0020190107,12885,10
24,GOKULAGRO,INE314T01033,202.44,20
25,SGBMAY26,IN0020180033,13500,10
26,BLUEJET,INE0KBH01020,578,20
27,FLUOROCHEM,INE09N301011,3485.8,20
28,GOLDCASE,INF0R8F01042,19.26,20
29,PAGEIND,INE761H01022,38565,20
30,EICHERMOT,INE066A01021,7125.5,9.09
31,VISHNU,INE270I01022,477.3,20
32,GUJALKALI,INE186A01019,555.05,20
33,NMDC,INE584A01023,74.46,20
34,KIRLOSENG,INE146L01010,1181.45,20
35,SAGILITY,INE0W2G01015,49.69,20
36,DHANI,INE274G01010,51.06,100
37,MOIL,INE490G01020,332.05,20
38,ANANTRAJ,INE242C01024,618.8,21.08
39,ETERNAL,INE758T01015,306.9,15.05
40,LMW,INE269B01029,15620,20
41,TIINDIA,INE974X01010,3005,20
42,CHAMBLFERT,INE085A01013,457.5,20
43,QPOWER,INE0SII01026,799,20
44,KIRLPNU,INE811A01020,1098.2,20
45,SGBNOV25,IN0020170091,12260,10
46,JSWCEMENT,INE718I01012,126.15,20
47,HSCL,INE019C01026,446.25,20
48,RCF,INE027A01015,148.18,20
49,NCC,INE868B01028,179.03,20
50,IREDA,INE202E01016,146.64,20
51,STOVEKRAFT,INE00IN01015,616.7,20
52,VENUSPIPES,INE0JA001018,1290.4,20
53,TITAN,INE280A01028,3902.4,9
54,BASF,INE373A01013,4368.8,20
55,NIFTYIETF,INF109K012R6,294.23,6
56,HDFCBANK,INE040A01034,1008.85,9
57,HINDALCO,INE038A01020,799.8,10.97
58,TRANSRAILL,INE454P01035,645.55,20
59,LIQUIDBEES,INF732E01037,1000,5
60,POWERINDIA,INE07Y701011,22397,20.2
61,TATACONSUM,INE192A01025,1173.9,9
62,JYOTISTRUC,INE197A01024,11.78,23.55
63,SENORES,INE0RB801010,825.75,20
64,SGBMAR30X,IN0020210319,13105.01,10
65,TANLA,INE483C01032,598.05,20
66,SAATVIKGL,INE13B501022,448,20
67,CASHIETF,INF109K1A021,1037.58,5
68,TORNTPHARM,INE685A01028,3721.4,20
69,YESBANK,INE528G01035,22.63,20
70,COLPAL,INE259A01022,2179.7,20
71,IGIL,INE0Q9301021,335.1,20
72,SGBJUN30,IN0020220045,13198.33,10
73,SHRIRAMPPS,INE217L01019,91.15,20
74,SGBOCT25IV,IN0020170067,12850,10
75,SHAKTIPUMP,INE908D01010,700.45,20
76,DMART,INE192R01011,4085,20
77,SANOFI,INE058A01010,4568.8,20
78,SULA,INE142Q01026,242.6,20
79,ABSLLIQUID,INF209KB18T9,1000,5
80,INDUSTOWER,INE121J01017,400.5,20
81,UCOBANK,INE691A01018,31.05,20
82,DOMS,INE321T01012,2532.9,20
83,AADHARHFC,INE883F01010,485.75,20
84,JUNIORBEES,INF732E01045,748.52,6.03
85,KFINTECH,INE138Y01010,1080.4,20
86,FORTIS,INE061F01013,935.4,20
87,BERGEPAINT,INE463A01038,590.1,20
88,OIL,INE274J01014,436.2,20
89,ITC,INE154A01025,405.45,9
