Instrument_Token,Symbol,Series,instrumenttype,issuedcapital,permittedtotrade,Price_Range,normalmarketstatus,normalmarketeligibility,oddlotmarketstatus,oddlotmarketeligibility,spotmarketstatus,spotmarketeligibility,auctionmarketstatus,auctionmarketeligibility,callauction1marketstatus,callauction1marketeligibility,callauction2marketstatus,callauction2marketeligibility,boardlotquantity,ticsize,Name,survind,issuestartdate,interestpaymentdate,maturitydate,freezepercent,listingdate,expulsiondate,readmissiondate,expirydate,recorddate,nodeliverystartdate,nodeliveryenddate,participantinmarketindex,aon,minimumfill,settlementtype,bookclosurestartdate,bookclosureenddate,dividend,rights,bonus,interest,agm,egm,marketmakerspread,marketmakerminquantity,ssec,remark,localupdatedatetime,deleteflag,Face_Value,ISIN,Is_Relevant_Series_EQ_BE_BZ,Avg_Traded_Value,Avg_Traded_Value_Lakhs,Avg_Traded_Volume,Avg_Close_Price,Days_Data_Available,Has_Complete_3Day_Data,Variance_Percent,Is_FO_Stock,FO_Category,Price_Band_Percent,Category
4018,CHENNPETRO,AF,0,1.48911400000000E+08,0,884.60-1081.10,1,0,2,0,2,0,2,0,1,0,1,0,1,5,CHENNAI PETROLEUM CORP LT,0,1215907200,0,0,683,1215907200,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744369,N,1000,INE178A01016,False,17647110839.083332,176471.1083908333,18457569.333333332,971.7333333333332,3,True,20.04,True,3x_variance,10.0,3x
27233,BSE,AF,0,4.07299077000000E+08,0,2247.00-2746.20,1,0,2,0,2,0,2,1,1,0,1,0,1,10,BSE LIMITED,0,1417305600,0,0,98,1417305600,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744371,N,200,INE118H01025,False,15840570328.866667,158405.70328866667,6367227.333333333,2507.9666666666667,3,True,21.51,True,3x_variance,10.0,3x
9835,IDEA,AF,0,1.08343035001000E+11,0,8.46-10.35,1,0,2,0,2,0,2,1,1,0,1,0,1,1,VODAFONE IDEA LIMITED,0,1240704000,0,0,98,1240704000,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744370,N,1000,INE669E01016,False,13745088314.230001,137450.8831423,1476739565.6666667,9.226666666666667,3,True,24.0,True,3x_variance,10.05,3x
30545,POWERINDIA,AF,0,4.45723630000000E+07,0,18412.00-22502.00,1,0,2,0,2,0,2,1,1,0,1,0,1,100,HITACHI ENERGY INDIA LTD,0,1443744000,0,0,109,1443744000,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744372,N,200,INE07Y701011,False,9742573627.666666,97425.73627666666,496083.3333333333,18718.0,3,True,20.2,True,3x_variance,10.0,3x
8911,SAMMAANCAP,AF,0,8.28358025000000E+08,0,167.59-204.84,1,0,2,0,2,0,2,1,1,0,1,0,1,1,SAMMAAN CAPITAL LIMITED,0,1235779200,0,0,648,1235779200,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,SYMBOL CHANGE,1446744370,N,200,INE148I01020,False,5308028345.67,53080.2834567,28174811.333333332,188.24666666666667,3,True,20.32,True,3x_variance,10.0,3x
4077,WOCKPHARMA,AF,0,1.62492169000000E+08,0,1228.80-1501.80,1,0,2,0,2,0,2,0,1,0,1,0,1,10,WOCKHARDT LIMITED,0,1215907200,0,0,450,1215907200,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744369,N,500,INE049B01025,False,3497151673.066667,34971.51673066667,2526244.6666666665,1353.5333333333333,3,True,21.76,True,3x_variance,10.0,3x
4066,RPOWER,AF,0,4.13577096600000E+09,0,36.64-44.79,1,0,2,0,2,0,2,0,1,0,1,0,1,1,RELIANCE POWER LTD.,0,1215907200,0,0,593,1215907200,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744369,N,1000,INE614G01033,False,2809831547.213333,28098.31547213333,64830801.666666664,43.67666666666667,3,True,23.08,True,3x_variance,10.01,3x
4030,GODFRYPHLP,AF,0,1.55981760000000E+08,0,2718.30-3322.30,1,0,2,0,2,0,2,0,1,0,1,0,1,10,GODFREY PHILLIPS INDIA LT,0,1215907200,0,0,212,1215907200,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,,1446744369,N,200,INE260B01028,False,2748167136.6,27481.671366,899408.3333333334,3068.7999999999997,3,True,23.81,True,3x_variance,10.0,3x
1138,APOLLO,BE,0,3.33532454000000E+08,0,264.00-291.75,1,0,2,0,2,0,2,0,1,0,1,0,1,5,APOLLO MICRO SYSTEMS LTD,13,1201046400,0,0,1078,1201046400,0,0,1441756800,1441843200,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RE 0.25 PER SH,1446744369,N,100,INE713T01028,True,909406072.1833334,9094.060721833333,3236348.0,277.65000000000003,3,True,23.87,True,3x_variance,4.99,3x
8164,BBOX,BE,0,1.69987510000000E+08,0,521.45-576.30,1,0,2,0,2,0,2,0,1,0,1,0,1,5,BLACK BOX LIMITED,0,644198400,0,0,1071,644198400,0,0,1440892800,1440892800,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,DIV - RE 1 PER SH,1446744370,N,200,INE676A01027,True,883783677.6666666,8837.836776666667,1603750.3333333333,544.35,3,True,23.35,True,3x_variance,5.0,3x
